No,時期,変更対象,変更前,変更後,理由・判断根拠,出典
1,第2→3回(4/22-4/29),リズム楽器,メトロノーム,ドラム,パーカッションは打楽器の総称で特定楽器を指さないため具体化,議事録3
2,第3〜4回(4/29-5/13),同期方式,LED光通信(送受信回路・フォトトランジスタ),I2C有線通信(SYNC+PLL),UARTのクロックズレによる化け回避／バス型1対多／4スレーブ順次送信1.16msで同期誤差目標≤30msの約4%,"議事録2/3, 計画書§通信方式"
3,第3回(4/29),評価指標,主観アンケート中心,心理尺度法(SD法/Russel円環モデル)ベースで再考,定量評価の妥当性確保,"議事録3, 作業ログ11"
4,第3〜4回,エンタメ機能,未定,ロードセル荷重検知+連続回転サーボ(ベビーメリー)を開始トリガ化,受動的操作要件・社会的背景(刺激的でない)と合致,議事録3/4
5,第4回(5/13),Serial構成,スレーブを1PCに集約想定,各スレーブを個別PCへ接続,UART混線によるデータ消失・破損リスク回避,"議事録4, 計画書"
6,第6回(5/27),コミュニケーション基盤,Slack,Zulipへ移行,TAからZulip活用度が低いと指摘(評価点に直結),"議事録6, 作業ログ7"
7,第6週(5/27),スコープ/MVP,全機能(F1-F6)必達,F2可変テンポ・F5エンタメをストレッチ化、コア(F1/F3/F4/F6)+3台構成を必達,クリティカルパス(スレーブ側ソフト53h)着手が第6週で残5週リスク大,"decision-log, scope-statement, 作業ログ7"
8,第3回以降,タスク番号体系,A/B/C_M/C_S/D/E/F 系,WBS 1.x/2.x/3.x(3桁ナンバリング),計画書準拠のWBS再構成(酒井担当),"議事録3, Gantt_Chart.xlsx"
9,第8回(6/10),開始トリガ運用,ロードセル自動開始,当面ボタンで開始・終了(代替運用),ロードセル未実装・筐体遅延に対する最低保証ライン確保,議事録8
10,第9週,MOP1/MOP2,単一指標,"楽器別4指標(MOP1-1〜1-4, MOP2-1〜2-4)に細分化",楽器ごとの同期誤差・ロスを個別測定,作業ログ9
11,第10回(7/1),I2C転送レート,Standard Mode 100kHz,Fast-mode 400kbps,転送遅延削減,議事録10
12,第10回(7/1),BPM平滑化ロジック(移動平均),実装予定,不採用,測定の結果、補正が必要なほどの遅延が存在しなかった→TPMを修正,議事録10
13,評価計画,第三者評価協力者,10名以上(原案HCK2),3名以上(最終MOP),評価規模の現実的調整,HCK2.xlsx vs mop.md
14,第7〜10週,ハードウェア完了時期,第7〜8週予定,第10週手前に完成,材料調達遅延・設計不十分・集合機会不足,作業ログ10
