WBS番号,タスク名,担当,見積工数(h),計画開始週,計画終了週,フェーズ,対応FBS,対応MOP,クリティカルパス
1.1,機材調達・Arduino動作確認,全員,5.0,4,5,ハードウェア,-,-,N
1.2,通信回路・音声出力回路構築,全員,2.0,5,6,ハードウェア,"F6.1,F6.2",MOP2,Y
1.3,ベビーメリー風装置の製作,全員,4.0,6,7,ハードウェア,F5.1,-,N
1.4,ロードセル・HX711取付・しきい値調整,全員,4.0,7,8,ハードウェア,F5.2,-,N
2.1,楽器別倍音比率の調査・データ化,全員,8.0,6,6,ソフトウェア,F4.1-F4.4,-,N
2.1.1,シリアル通信疎通確認(115200bps),山口,3.0,6,7,ソフトウェア,F6.2,-,N
2.1.2,フルート音色作成,山口,10.0,6,8,ソフトウェア,F4.1,MOP4,N
2.1.3,クラリネット音色作成,佐藤,10.0,6,8,ソフトウェア,F4.2,MOP4,N
2.1.4,オルガン音色作成,成毛,10.0,7,8,ソフトウェア,F4.3,MOP4,N
2.1.5,ドラム音色作成,成毛,10.0,6,8,ソフトウェア,F4.4,MOP4,N
2.1.6,Serial通信・制御ロジック実装,佐藤&山口,10.0,6,8,ソフトウェア,F4.6,MOP2,N
2.2,センサ入力・BPM変換処理,成毛,8.0,6,8,ソフトウェア,F2.1,MOP6,N
2.2.1,BPM変化制限ロジック,成毛,5.0,7,8,ソフトウェア,F2.2,"MOP6,MOP7",N
2.2.2,CONFIG送信処理,佐藤&山口,6.0,7,8,ソフトウェア,F2.3,-,N
2.2.3,SYNCマーカー生成・送信処理,佐藤&山口,10.0,7,8,ソフトウェア,F1.1,MOP1,N
2.2.4,START/STOP制御処理,佐藤&山口,6.0,7,8,ソフトウェア,F1.5,MOP2,N
2.2.5,サーボ制御・状態管理実装,佐藤&山口,6.0,8,9,ソフトウェア,F5.1-F5.4,-,N
2.3,共通ライブラリ整備(PROGMEM+I2Cフレーム),成毛,10.0,5,6,ソフトウェア,"F1.2,F3.1",-,Y
2.3.1,ISR受信・デコード処理(onReceive),佐藤&山口,15.0,6,8,ソフトウェア,F1.2,MOP2,Y
2.3.2,PLL同期アルゴリズム実装,佐藤&山口,10.0,7,9,ソフトウェア,F1.3,"MOP1,MOP7",Y
2.3.3,音符スケジューリング(PROGMEM→Serial),各楽器担当,6.0,7,9,ソフトウェア,F3.2,MOP1,Y
2.3.4,輪唱位置管理(my_local_bar計算),各楽器担当,12.0,7,9,ソフトウェア,F3.3,"MOP1,MOP2",Y
3.1,単体・同期精度テスト,全員,8.0,8,9,統合・評価,"F1.4,F4","MOP1,MOP7",Y
3.2,全体結合演奏テスト,全員,10.0,9,10,統合・評価,"F1,F3,F4","MOP1,MOP2",Y
3.3,可変テンポ動作検証,全員,9.0,10,10,統合・評価,"F3.6,F1.4","MOP6,MOP7",Y
3.4,最終発表・報告(アンケート集計),全員,,10,11,統合・評価,-,"MOP3,MOP4,MOP5",Y
