週,タスク名,開始日,予定完了日,状態,進捗率(%)
6,各担当の楽器の音色作成,2026-05-20,2026-06-10,進行中,60.0
6,共通ライブラリの作成,2026-05-20,2026-06-02,進行中,
7,共通ライブラリの作成,2026-05-20,2026-06-02,完了,100.0
8,ベビーメリー風回転装置制作,2026-06-03,2026-06-23,進行中,50.0
8,ロードセルの反応検証,2026-06-10,2026-06-23,進行中,50.0
8,センサ入力・BPM変換処理,2026-06-03,2026-06-23,進行中,10.0
9,ベビーメリー風回転装置制作,2026-06-03,2026-06-23,進行中,80.0
9,ロードセルの反応検証,2026-06-10,2026-06-23,進行中,90.0
9,センサ入力・BPM変換処理,2026-06-03,2026-06-23,進行中,80.0
9,PLL補正アルゴリズムの実装,2026-06-10,2026-06-30,進行中,10.0
10,ベビーメリー風回転装置制作,2026-06-03,2026-06-23,完了,100.0
10,ロードセルの反応検証,2026-06-10,2026-06-23,完了,100.0
10,センサ入力・BPM変換処理,2026-06-03,2026-06-23,完了,100.0
10,PLL補正アルゴリズムの実装,2026-06-10,2026-06-30,完了,100.0
11,最終発表・報告(アンケート集計),2026-07-01,2026-07-08,進行中,50.0
