タイムスタンプ,輪唱を聞く前の、現在の状態にあった選択肢を選んでください（１：心地よい〜７：不快）,輪唱を聴く前の、現在の状態にあった選択肢を選んでください（１：楽しい〜７：退屈）,輪唱を聴く前の、現在の状態にあった選択肢を選んでください（１：明るい〜７：暗い）,輪唱を聴く前の、現在の状態にあった選択肢を選んでください（１：落ち着かない〜７：落ち着いた）,輪唱を聴く前の、現在の状態にあった選択肢を選んでください（１：穏やかな〜７：激しい）,輪唱を聴く前の、現在の状態にあった選択肢を選んでください（１：眠い〜７：目が覚めた）,聞こえた楽曲を選択してください,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：心地よい〜７：不快）,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：楽しい〜７：退屈）,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：明るい〜７：暗い）,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：落ち着かない〜７：落ち着いた）,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：穏やかな〜７：激しい）,輪唱を聴いた後の、現在の状態にあった選択肢を選んでください（１：眠い〜７：目が覚めた）,列 14
2026/07/08 13:53:28,4,4,4,4,2,4,きらきら星,3,3,3,5,3,4,
2026/07/08 13:54:23,1,2,3,5,2,3,きらきら星,2,2,3,5,2,3,
2026/07/08 13:54:57,4,4,4,3,3,4,きらきら星,1,2,2,6,1,1,
2026/07/08 13:55:01,3,3,3,3,3,4,きらきら星,3,3,3,3,3,3,
2026/07/08 13:56:13,1,1,2,7,2,3,きらきら星,2,1,1,6,1,2,
2026/07/08 13:56:49,3,2,2,3,3,4,きらきら星,2,3,2,5,2,3,
2026/07/08 13:58:41,5,1,2,6,3,5,きらきら星,2,2,2,2,2,3,
2026/07/08 13:59:55,6,5,4,7,4,1,きらきら星,2,3,2,7,3,1,
2026/07/08 14:01:31,5,5,3,3,4,3,きらきら星,2,2,2,6,2,5,
2026/07/08 14:01:41,3,2,4,5,4,5,きらきら星,3,1,1,7,1,1,
2026/07/08 14:15:37,2,1,2,6,5,4,きらきら星,4,4,3,5,4,4,
2026/07/08 15:56:18,7,7,7,3,5,4,きらきら星,1,1,1,7,1,4,
2026/07/08 17:56:30,4,4,4,4,4,4,きらきら星,1,1,1,7,1,3,
2026/07/08 21:48:35,4,4,4,5,4,1,きらきら星,1,1,1,7,1,1,
2026/07/08 22:12:22,4,4,4,4,4,4,きらきら星,3,3,3,5,3,1,
2026/07/08 22:23:27,3,3,3,3,3,3,カエルの合唱,1,1,1,4,2,3,
2026/07/08 22:36:45,4,4,4,4,4,4,きらきら星,1,1,1,7,1,3,
2026/07/08 22:54:03,5,4,4,4,4,4,カエルの合唱,2,3,3,5,2,5,
2026/07/09 11:42:27,3,3,2,2,4,5,きらきら星,2,2,1,5,2,3,
2026/07/10 19:36:43,6,6,7,3,5,5,きらきら星,3,3,3,3,3,4,
2026/07/11 16:06:12,5,3,5,2,3,1,きらきら星,3,3,4,3,3,5,
2026/07/11 16:57:57,2,1,1,2,3,6,きらきら星,4,3,4,4,5,4,
2026/07/11 17:05:34,3,2,2,5,3,3,きらきら星,2,2,2,6,2,4,
2026/07/11 20:46:21,3,5,5,3,4,3,きらきら星,5,2,3,4,3,6,
2026/07/11 21:03:58,1,1,1,7,1,7,きらきら星,1,1,1,7,1,1,
