シート/項目,説明,出典
01_週次全体進捗,週ごとの全体進捗率(%)とマイルストーン状況,作業ログ06-11「進捗サマリー」
02_WBSタスク一覧,計画上のWBS全タスク・見積工数・担当・対応FBS/MOP,wbs.md / schedule.md
03_GitHub_Issueログ,各タスクの実績(起票〜完了)・Start/Target日付・Status,figure画像42枚(GitHub Projects)
04_タスク別進捗推移,作業ログに記録された週次のタスク進捗率(%),作業ログ06-11「作業ログ表」
05_TRL週次推移,機能別TRL(1-4)の週次推移(各週の今回値),作業ログ07-11 TRL表
06_TPM同期誤差,楽器間同期誤差(ms)の第9-10週実測(目標≤30ms),作業ログ09-10 TPM表
07_TPMパケットロス,I2C SYNCパケットロス(目標0回/50試行),作業ログ09-10 TPM表
08_議事録ログ,第2〜10回 週次MTGの日付・決定事項・アクション,11-meeting-minutes(議事録2-10)
09_計画変更履歴,当初→最終の計画変更14件(時期・前後・理由),議事録/decision-log/作業ログ
10_当初vs最終計画,第2回時点の当初計画と最終計画の対比,Gantt_Chart.xlsx/HCK2.xlsx/議事録
,,
【注記1】,TRL第6週は作業ログ07の前回値(=基準TRL1)。エンタメ機能F5は原資料で第8週今回2・第9週前回1と不整合があり、各週の今回値を採用。,
【注記2】,MOP5(リラクゼーション)・MOP6(BPM反映)・MOP7(PLL収束)は第10週時点で未計測のため本データセットに数値なし(7/8アンケートで測定予定)。,
【注記3】,進捗率の空欄(NA)は原資料に数値記載なし。日付は全て2026年。,
【注記4】,"GitHub Issue番号はリポジトリ毎に採番(#1,#2,#6はprogress-managementとorchestration-devで重複)。リポジトリ列で区別。",
